"Task: 1, Test Name: displays logo, DOM Id: logo, Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: displays search input, DOM Id: DIV__customsear__41, Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: displays search icon, DOM Id: I__headericon__44, Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: displays profile dropdown, DOM Id: A__accesslink__56, Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: displays cart dropdown, DOM Id: A__cartbt__49, Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: displays cart badge, DOM Id: STRONG____50, Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: displays top banner, DOM Id: [id*="DIV__topbanner__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: displays sort input, DOM Id: [id*="DIV__sortselect__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: displays filter button, DOM Id: li > [id*="A__openfilter__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: displays sort icon, DOM Id: [id*="DIV__sortselect__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: displays the footer, DOM Id: [id*="FOOTER____"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: shouldn't display filter submit button, DOM Id: filterBtn, Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: shouldn't display filter reset button, DOM Id: resetBtn, Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: shouldn't display grid view button, DOM Id: [id*="I__tiviewgrid__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
"Task: 1, Test Name: shouldn't display list view button, DOM Id: [id*="I__tiviewlist__"], Browser: Chrome, Viewport: 786x700, Device: Laptop, Status: Pass
